RANK,SITE,#THIRD_URL-cookie-get,#THIRD_DOMAIN-cookie-get,#THIRD_URL-cookie-set,#THIRD_DOMAIN-cookie-set,#THIRD_URL-cookie,#THIRD_DOMAIN-cookie,#THIRD_URL-DOM,#THIRD_DOMAIN-DOM,#THIRD_URL-NET,#THIRD_DOMAIN-NET
796,"shopify.com",5,4,5,4,5,4,1,1,0,0
797,"ny.gov",2,2,2,2,2,2,0,0,1,1
798,"filmix.ac",0,0,0,0,0,0,0,0,1,1
799,"onelogin.com",6,5,6,5,6,5,1,1,1,1
800,"lifo.gr",3,3,3,3,3,3,3,3,0,0
801,"processon.com",0,0,0,0,0,0,2,2,0,0
802,"crazyegg.com",3,2,3,2,3,2,3,1,0,0
804,"ahram.org.eg",2,2,2,2,2,2,0,0,2,2
805,"jocial.com",1,1,1,1,1,1,3,2,0,0
806,"flashscore.com",1,1,1,1,1,1,1,1,2,1
807,"nbcnews.com",7,4,7,4,7,4,1,1,3,2
808,"bestlifeonline.com",4,4,4,4,4,4,1,1,1,1
810,"ssa.gov",3,3,3,3,3,3,3,3,1,1
811,"ebrun.com",3,1,3,1,3,1,3,1,2,1
812,"ezgif.com",3,3,3,3,3,3,1,1,2,2
813,"poshmark.com",15,9,15,9,15,9,8,6,1,1
814,"disqus.com",1,1,1,1,1,1,1,1,1,1
815,"rtl-theme.com",5,3,5,3,5,3,0,0,2,2
817,"localbitcoins.com",0,0,0,0,0,0,2,2,1,1
818,"tmz.com",2,2,2,2,2,2,0,0,1,1
819,"gap.com",3,2,3,2,3,2,0,0,1,1
821,"zdf.de",1,1,1,1,1,1,0,0,2,1
822,"thegatewaypundit.com",7,7,7,7,7,7,5,5,5,5
825,"u.gg",2,2,2,2,2,2,2,2,4,4
826,"redtube.com",3,3,3,3,3,3,2,2,0,0
827,"digistore24.com",2,2,2,2,2,2,1,1,1,1
828,"qafqazinfo.az",2,2,2,2,2,2,1,1,1,1
829,"t-mobile.com",9,6,9,6,9,6,3,1,3,2
830,"autotrader.com",1,1,1,1,1,1,2,2,1,1
